protein,PC1loadings
CHOYP_GELS2.2.2.m.30443,0.0422515062171616
CHOYP_GST7.1.1.m.59335,-0.0557951969506826
CHOYP_ISCW_ISCW012366.1.1.m.3691,-0.029216839974932
CHOYP_ISCW_ISCW023973.1.2.m.6506,-0.0265678330401214
CHOYP_LOC100123907.1.1.m.2987,-0.0563250172429184
CHOYP_ARP3.1.1.m.6867,0.0309790792978166
CHOYP_LOC100369657.2.2.m.45309,-0.033435220933265
CHOYP_ATPB.1.1.m.21960,-0.0540173607770899
CHOYP_LOC100533521.2.2.m.52097,0.0336095433101187
CHOYP_LOC100705966.1.1.m.45957,0.0522255977186225
CHOYP_LOC100711559.1.1.m.10313,0.0306093079008774
CHOYP_LOC100862999.1.1.m.11759,0.0373720393503302
CHOYP_LOC100888608.1.3.m.5445,0.0420753720849226
CHOYP_LOC100903522.1.3.m.2296,0.0304077934388499
CHOYP_LRP5.1.3.m.18025,0.0365594749372277
CHOYP_LYS3.1.1.m.31221,0.0374464631106788
CHOYP_NEMVEDRAFT_V1G180651.1.2.m.2808,-0.0270346987713171
CHOYP_NEMVEDRAFT_V1G191841.1.1.m.1745,-0.0260629677090186
CHOYP_NEMVEDRAFT_V1G206950.1.1.m.37574,-0.060106261012769
CHOYP_NEMVEDRAFT_V1G235461.1.1.m.28341,-0.026539018252298
CHOYP_SPTCA.1.2.m.1905,0.0406658106407769
CHOYP_TAGL3.1.1.m.31031,0.138447131030664
CHOYP_TEKT3.1.1.m.37281,-0.0299781395878284
CHOYP_TEKT5.1.1.m.60031,-0.0268489229495495
CHOYP_TEMPT.1.3.m.4934,0.0477962496614691
CHOYP_TNNC.1.1.m.66691,0.0419851151579462
CHOYP_VOLCADRAFT_93060.2.2.m.26741,-0.148470045401159
CHOYP_YAHB.1.1.m.25422,0.0313165541857137
CHOYP_contig_004993.m.5721,0.0634875637199168
CHOYP_contig_020392.m.23606,-0.0402272082935916
CHOYP_BRAFLDRAFT_125880.1.3.m.7081,-0.0390986737412954
CHOYP_contig_043813.m.50619,0.0378652779381779
CHOYP_contig_052416.m.62821,0.0335757973967684
CHOYP_14332.1.2.m.5643,0.0741799610912617
CHOYP_14332.2.2.m.61737,-0.0889087761626785
CHOYP_ADD.3.5.m.17639,0.0311459498459986
CHOYP_ADD.2.5.m.15081,-0.027319727279409
CHOYP_AGAP_AGAP007120.1.1.m.57542,0.0396755996735485
CHOYP_BRAFLDRAFT_127065.6.7.m.30727,-0.119562621737245
CHOYP_RS3A.4.15.m.15367,0.0540899885364479
CHOYP_CALM.22.50.m.31010,-0.0559965538687637
CHOYP_CALUB.2.2.m.58007,0.0354593770672831
CHOYP_CATA.3.3.m.21642,-0.0287084614138212
CHOYP_CNDP2.3.4.m.30467,0.0386695870484815
CHOYP_CNE_1C34780.3.3.m.30615,-0.0289716070677378
CHOYP_CYIIB.2.2.m.64544,0.0332253566420705
CHOYP_RS23.1.9.m.12948,-0.0428181760384945
CHOYP_DSEC_GM19691.1.1.m.30070,0.042286339183743
CHOYP_DSIM_GD24875.1.1.m.66201,0.0370621819162627
CHOYP_DVIR_GJ23521.1.1.m.2757,-0.0426669180954152
CHOYP_EF1A.2.4.m.50858,0.0833271831892736
CHOYP_EF2.5.5.m.39855,-0.0274022330442153
CHOYP_EIF5A.1.3.m.22684,-0.0764105943216235
CHOYP_FABP7.2.2.m.29096,0.0330005099215594
CHOYP_FLNC.2.5.m.37450,-0.0285925878411363
CHOYP_FLNA.2.6.m.11845,0.0643110301741204
CHOYP_GIGA6.1.1.m.38687,0.0318879345710484
CHOYP_HN1L.2.2.m.9837,-0.0452555541899092
CHOYP_LOC101157371.3.3.m.51109,0.0383712775856958
CHOYP_HSP7D.2.3.m.34782,0.0500948631047657
CHOYP_BT3L4.1.1.m.2144,-0.0250386169685736
CHOYP_LDLR.6.7.m.57984,-0.0596748584239408
CHOYP_LOC100180023.1.7.m.11060,0.0907944196588929
CHOYP_LOC100211409.1.1.m.4742,0.0481515427697207
CHOYP_LOC100377173.1.2.m.37699,0.0702005742998396
CHOYP_LOC100374495.1.1.m.55368,-0.034064341175009
CHOYP_LOC100533294.1.3.m.35108,0.0346600621000851
CHOYP_LOC100533447.2.3.m.44496,0.0352124111766769
CHOYP_LOC100699383.1.1.m.63490,0.0827975046865898
CHOYP_LOC100893889.2.2.m.64935,0.0595799697049359
CHOYP_LOC100897892.1.1.m.1462,0.0424042765821276
CHOYP_LOC101072646.1.1.m.8800,-0.0376288990007796
CHOYP_LOC101156984.2.2.m.22956,0.0676388939745996
CHOYP_LOC101169658.2.3.m.20752,0.211697283503803
CHOYP_LOC587133.1.1.m.61281,0.0580232307059264
CHOYP_LOC663855.2.5.m.747,0.0332118078626675
CHOYP_MYS.4.7.m.18188,0.0447847025968659
CHOYP_MYS.7.7.m.44342,0.0400919883242708
CHOYP_MLE.1.9.m.15462,0.0478149186191349
CHOYP_MYSP.8.9.m.44813,-0.0819273894698138
CHOYP_MYSP.1.9.m.1097,0.270770292543147
CHOYP_MYSP.4.9.m.2302,-0.135772066327094
CHOYP_NEMVEDRAFT_V1G242153.4.4.m.60071,0.0322376663779869
CHOYP_LOC752782.1.1.m.53937,0.210117432807835
CHOYP_ACT.5.27.m.15585,-0.177473476346099
CHOYP_NEMVEDRAFT_V1G242065.1.1.m.21817,0.0919806625588091
CHOYP_ACT.6.27.m.15622,-0.239461237449289
CHOYP_LOC100890099.1.1.m.11505,0.102395735321048
CHOYP_ACT.23.27.m.58454,-0.102423289757299
CHOYP_PAN2.1.1.m.44691,0.13033093953643
CHOYP_PHUM_PHUM289860.1.1.m.44779,0.0789990413633817
CHOYP_PRP6.2.2.m.34365,-0.0772890121043826
CHOYP_QCR2.1.1.m.35613,-0.0313288741223336
CHOYP_RL18A.1.8.m.12900,-0.0300363048128933
CHOYP_RL18A.6.8.m.61646,0.0346725395806515
CHOYP_LOC100175959.4.7.m.28172,-0.0708442673566391
CHOYP_LOC100175959.1.7.m.1896,0.0414232819357722
CHOYP_RN45S.2.5.m.14111,0.0485874038522361
CHOYP_TPM.7.19.m.15554,-0.0421230763919369
CHOYP_RS8.8.14.m.44842,-0.0390940892124509
CHOYP_LOC100727208.1.1.m.9366,0.0343646672003105
CHOYP_SMP_051990.7.7.m.57569,0.0497628865006031
CHOYP_TBA1.7.9.m.44107,0.0484177290218056
CHOYP_TBA1A.2.4.m.19573,-0.07056777773045
CHOYP_TBA.1.6.m.12217,-0.253173311152879
CHOYP_LOC754102.1.1.m.57578,0.324586895069153
CHOYP_TBA3.1.1.m.5111,-0.04087049173613
CHOYP_TBA.5.6.m.37448,-0.03590109878461
CHOYP_TBB4B.7.7.m.63980,-0.0933634887952258
CHOYP_TBB4B.1.7.m.12262,0.0452950031941245
CHOYP_TPM.15.19.m.50851,-0.0361822044484329
CHOYP_contig_016567.m.19514,0.0333582764697717
CHOYP_contig_041958.m.48141,0.129807814861923
CHOYP_KCY.1.1.m.29973,0.0521602484895951
CHOYP_C1QL4L.3.7.m.5968,0.0301441121355151
CHOYP_contig_033285.m.37973,-0.02890581671566
CHOYP_DGRI_GH15313.1.1.m.5763,0.0645369009302841
CHOYP_DWIL_GK25045.1.2.m.9225,0.0351604374287112
CHOYP_EIF1B.1.3.m.29107,-0.0411679189528151
CHOYP_ENO.1.2.m.7681,0.033747063421059
